,Texto,Sentimento
43,"Que coisa mais linda.
Vindo de uma criança, é verdadeiro 
EU TE AMO LULA ❤
@LulaOficial 
#LulaReconstruindoOBrasil https://t.co/e33auTVaSs",Insatisfeito
44,"RT @A_MelhorNoticia: 🚨 Gospel:
Bispo Macedo diz que orou pelo Lula quando o presidente estava doente, mas o petista nunca lhe deu nada em t…",Insatisfeito
45,"RT @amaliabarros: Após oferecer R$ 60 milhões, agora Lula começa a liberar cargos de 2° escalão, para deputados retirarem assinaturas da CP…",Insatisfeito
46,"@AllanAq99542393 @cmrcruz @planalto @LulaOficial @JanjaLula @MaritoAbdo @enioverri @ricardostuckert TÁ BEM, TUDO SU… https://t.co/IoIRRGw9YS",Insatisfeito
47,"RT @JovemPanNews: #TaNaRodaJP | Neste domingo, 19 de março, a partir das 14h, tem mais uma edição do programa que faltava no seu fim de sem…",Insatisfeito
48,RT @Biakicis: O desgoverno Lula segue tentando barrar a CPMI do 08/01. https://t.co/lDpVbk2dB5,Insatisfeito
49,"RT @oiIuiz: Lula anunciou uma lei que já existe há 70 anos como se fosse dele. 

E o pior: a velha imprensa acreditou. https://t.co/JqPTGF0…",Insatisfeito
50,RT @AlexandrePT13CV: @Alexand92840726 @CarlosM17244219 @borgescm @asarock8 @Xavi93849835 @RamosEneildes @neylopesmachado @SigaoDecco @Cleuz…,Insatisfeito
51,"RT @viniciuscfp82: HILÁRIO! Pesquisa mostra que 94% do mercado, que fez o L, não confiam em Lula. E 68% confiam muito no Campos Neto, o pre…",Insatisfeito
52,"RT @miamello11: O seboso Malafaia 171
diz que tem vergonha de evangélicos que votaram em Lula.
E da mamata você tem vergonha canalha? https…",Insatisfeito
53,"RT @vimeirim: CENÁRIO: Lula discursa na posse de Enio Verri, novo Diretor-Geral brasileiro da Itaipu Binacional. Momento  solene e de repen…",Insatisfeito
54,RT @liberal22_rs: Um menino interrompeu discurso de Lula para pedir diminuição no preço da picanha. É vergonha atrás de vergonha esse gover…,Insatisfeito
55,"RT @MarcioM61326104: Enfermeiros vão às ruas contra Governo Lula e demais Poderes por impasse no piso salarial da classe

Ué...  Não foram…",Insatisfeito
56,"RT @carlosjordy: Questionado por uma criança sobre a picanha, Lula pede paciência e diz que o preço vai diminuir mas não é da noite pro dia…",Insatisfeito
57,"RT @ThiagoResiste: @LulaOficial Quem tá com Lula comenta aí ESTOU COM LULA

Já tá caindo a carne",Insatisfeito
58,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
59,"RT @terezandrade: Nobel de economia defende Lula e diz que “taxa alta de juros no Brasil não se justifica”
""O presidente Lula está absoluta…",Insatisfeito
60,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
61,RT @EduGiraoOficial: QUEM TEM MEDO DA CPMI?ATÉ ORÇAMENTO SECRETO Q LULA TANTO CRITICAVA NA CAMPANHA VOLTOU INVIESADO…E tome barganha c/seu…,Insatisfeito
62,"@kimpaim Pergunta sincera: Bolsonaro não prometeu acabar com a TV Lula, transformou em cabide de emprego e compra… https://t.co/zarsQoPHEG",Insatisfeito
63,"RT @Maubmarcon: RENUNCIA LULA!

Lula e Haddad estão implementando no Brasil a mesma fórmula que destruiu a Argentina! https://t.co/jfOgVJDb…",Insatisfeito
64,"Peguei carona no BLABLACAR e a querida elogiando o lula e metendo o pau no Bolsonaro, esse é o Brasil que eu gosto",Insatisfeito
65,"RT @cesarcalejon1: Você pode achar que é um truque, mas, após os anos do bolsonarismo, quando o ódio e a violência foram usados para fazer…",Insatisfeito
66,"@simonemigdan @saritacoelho Lula nao fugiu, enfrentou o julgamento ilegitimo aqui, foi ate preso, nunca pensou em f… https://t.co/k5JDEN1McV",Insatisfeito
67,RT @JoaquinTeixeira: BELA TENTATIVA LULA... MAS AINDA NÃO VOU VIRAR PETISTA. https://t.co/SSPEON9tA5,Insatisfeito
68,"RT @madeleinelacsko: Lula está certo ao dizer que obesidade é doença.

Coloca os influencers defensores da ""despatologização"" da obesidade…",Insatisfeito
69,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
70,RT @EduGiraoOficial: QUEM TEM MEDO DA CPMI?ATÉ ORÇAMENTO SECRETO Q LULA TANTO CRITICAVA NA CAMPANHA VOLTOU INVIESADO…E tome barganha c/seu…,Insatisfeito
71,"@LulaOficial @ricardostuckert @EmmanuelMacron @avecvous Lula, lembra desse dia? Deu merda eu acho.",Insatisfeito
72,@FredCSantana @SF_Moro Não seja ridículo. O lugar do Lula é na prisão por ser ladrão de milhões dos brasileiros.,Insatisfeito
73,RT @BolsonaroSP: Quem dera todo brasileiro pudesse sair às ruas nas grandes cidades com a mesma tranquilidade que Flávio Dino chega na Maré…,Insatisfeito
74,"RT @lazarorosa25: ""Eu orei, curei o Lula e ele não fez nada por mim e pela Record"". Olha o nível do ""cristão"".",Insatisfeito
75,RT @mspbra: Tarcísio amaciando a picanha do Lula... https://t.co/hHhtdt8Mbj,Insatisfeito
76,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
77,@bookis714 @AussieOracle @fsoonekindt @PutxiWhipped @DavidFo02389973 @B43Franco @Jaybefaunt @JosBtrigga… https://t.co/bnMr7xVGle,Insatisfeito
78,"RT @choquei: 🚨ATENÇÃO: Governo Lula anuncia que Gol e Azul toparam o projeto de passagens aéreas de R$ 200 para aposentados, estudantes e f…",Insatisfeito
79,"Parece que o desgoverno Lula atingiu o pico do Mandeta. 
O paciente já se encontra em coma profundo.",Insatisfeito
80,"@LucianoChaplin @folha Para um país que idólatra bandidos como Lula ou Bolsonaro, não me causa surpresa isso",Insatisfeito
81,RT @heldersalomao: “Lula Lula! Já caiu o preço da picanha!” https://t.co/5O01fNbwod,Insatisfeito
82,"RT @mariadorosario: Na posse da Itaipu Binacional, uma criança surpreendeu Lula. Veja que momento lindo! ❤️ https://t.co/pWrqeY9O0r",Insatisfeito
83,"RT @viniciuscfp82: Jornalistas da CNN se chocam com os dados econômicos da Argentina e falam em lástima. Algum amigão de Lula, na América L…",Insatisfeito
84,"RT @SpaceLiberdade: 🚨🇧🇷 Após o primeiro discurso do senador Sérgio Moro, ex-juiz da Lava Jato, o senador petista Rogério Carvalho, em apart…",Insatisfeito
85,RT @EduGiraoOficial: QUEM TEM MEDO DA CPMI?ATÉ ORÇAMENTO SECRETO Q LULA TANTO CRITICAVA NA CAMPANHA VOLTOU INVIESADO…E tome barganha c/seu…,Insatisfeito
86,RT @carlosjordy: Ministro da Justiça de lula visita o Complexo da Maré e se reúne com lideranças. Ele foi sem segurança nem escolta. Convoc…,Insatisfeito
87,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
88,"RT @Analise2023: Imaginem o cenário:

- Petrobrás revoga PPI em maio

- Gás de cozinha cai dos atuais 107 para 70 a 80 reais

- Filas da po…",Insatisfeito
89,"RT @semioticas: A história de todas as sociedades que existiram
tem sido a história das lutas de classes.
–– Karl Marx (1818-1883).

Imagem…",Insatisfeito
90,"- Lula Lula 
Grita um curumim…
https://t.co/LkDMFfyjm0",Insatisfeito
91,"@glayzinhooo Vc sabe que a picanha está cara, que Bolsonaro não tem nada a ver com as jóias e que o Lula é... Kkkkkk faz o L seu tonto",Insatisfeito
92,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
