,Texto,Sentimento
190,"RT @ElevaBrasilES: Existem muitas contradições no governo Lula.

Enquanto propõe o fomento de produção agrícola e desenvolvimento das terra…",Insatisfeito
191,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
192,"RT @senadorhumberto: Joseph Stiglitz, prêmio Nobel de Economia, diz que o presidente Lula está totalmente certo ao criticar as altas taxas…",Insatisfeito
193,"RT @candundaradasi: Daha 3 ay önce Brezilya’da başkanlık seçimlerini kaybeden Başkan Bolsonaro, koltuğu bırakmamak için direndi. Taraftarla…",Insatisfeito
194,"RT @lulaverso: “Lula Lula! Já caiu o preço da picanha!” 
é muita fofura e sabedoria juntas! https://t.co/hdEs9r4qvu",Insatisfeito
195,"It’s the guns Brian. THE. GUNS. ⁦@GovKemp⁩
 https://t.co/puqdM4XK4A",Insatisfeito
196,@Lula__v ما يطاوعني قلبي 🥺,Insatisfeito
197,"RT @candundaradasi: Daha 3 ay önce Brezilya’da başkanlık seçimlerini kaybeden Başkan Bolsonaro, koltuğu bırakmamak için direndi. Taraftarla…",Insatisfeito
198,"RT @Camila73071145: LULA 3.0 🚀👑
ZANIM NO STF 🚀
#Jairnacadeia
#NikolasCassado
#ForaCamposNeto
#ForaJuscelino",Insatisfeito
199,"RT @marcosaraujjoo: Crianças vai até o Presidente Lula e diz “oi Lula, te amo”. ❤️ 

🚨 NOS ACOMPANHE, AQUI TODOS SÃO LULA!

bananinha/ cpmi…",Insatisfeito
200,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
201,"RT @CECLynch: Oposição vai ter 'ministros-espelhos', para fiscalizar governo. Para cada Marina, haverá um Ricardo Sales; para cada Lula, um…",Insatisfeito
202,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
203,"@izzynobre China, Tailândia, Irã e Jordânia suspenderam a compra de carne pelo caso de vaca louca, quando há essas… https://t.co/jTVj9fPkee",Insatisfeito
204,"RT @luiz_alberto_13: Fiz o L para termos um presidente.
Temos um presidente!!!
Oi Lula! https://t.co/IfNsjTmZxn",Insatisfeito
205,RT @opilhado: Por que será que o governo Lula tem acesso tão tranquilo a comunidades violentíssimas e dominadas pelo tráfico de drogas? Mas…,Insatisfeito
206,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
207,"RT @viniciuscfp82: HILÁRIO! Pesquisa mostra que 94% do mercado, que fez o L, não confiam em Lula. E 68% confiam muito no Campos Neto, o pre…",Insatisfeito
208,"RT @FernandoHoliday: Lula ameaçou barrar as emendas de deputados que assinassem a CPMI do dia 8. Não funcionou.

Agora está oferecendo R$ 6…",Insatisfeito
209,@lazarorosa25 Orgulho nosso amado Presidente Lula sempre carismático esse vídeo salvou o meu dia me deu esperança d… https://t.co/sCsslsN2Tk,Insatisfeito
210,RT @lazarorosa25: Criança para o Presidente: “Lula Lula! Já caiu o preço da picanha!”. https://t.co/nkhTzWuQxn,Insatisfeito
211,RT @lazarorosa25: Criança para o Presidente: “Lula Lula! Já caiu o preço da picanha!”. https://t.co/nkhTzWuQxn,Insatisfeito
212,RT @carlosjordy: Ministro da Justiça de lula visita o Complexo da Maré e se reúne com lideranças. Ele foi sem segurança nem escolta. Convoc…,Insatisfeito
213,RT @revistaoeste: Lula: ‘Cadeia está cheia de gente inocente no Brasil’ https://t.co/kHtfrmBSRp,Insatisfeito
214,"RT @marsiglia_andre: Quanto mais surgem nomes para o STF na boca de simpatizantes do governo, mais fica claro para mim que Lula nomeará mes…",Insatisfeito
215,"@SergioAJBarrett Mas ela pode, engraçado a mulher do Lula gastou não sei quantos mil em uma loja e ninguém falou na… https://t.co/JYwBpp36u0",Insatisfeito
216,RT @LucianoGiusepp4: Estão  muito estranhas essas visitas que essa turma do PT vem fazendo nos últimos dias!  Dino visita de forma suspeita…,Insatisfeito
217,"RT @CleitonDare: A diferença entre a intolerância e o ódio e um simples ""Oi Lula"" vindo de uma criança! E a atenção dada pelo Presidente! É…",Insatisfeito
218,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
219,"RT @RealDhiego: Você aí que se mata de trabalhar, tudo caro, sufocado de impostos, e ainda defende o Lula! 

Com fome e miséria no Brasil,…",Insatisfeito
220,"RT @lazarorosa25: ""Eu orei, curei o Lula e ele não fez nada por mim e pela Record"". Olha o nível do ""cristão"".",Insatisfeito
221,🚨 URGENTE: Lula é interrompido por criança durante fala na posse da Itaipu Binacional. https://t.co/xAMJAgewgk,Insatisfeito
222,"RT @DrissG5: Record de déboisement en Amazonie au mois de février, sous le gouvernement Lula. 

Silence total de Macron et des ONG. Cette f…",Insatisfeito
223,RT @carlosjordy: Ministro da Justiça de lula visita o Complexo da Maré e se reúne com lideranças. Ele foi sem segurança nem escolta. Convoc…,Insatisfeito
224,RT @rogeriosmarinho: O gov Lula não respeita contratos! A insegurança jurídica tomou conta. A AGU revogou a portaria que autorizava o uso d…,Insatisfeito
225,"RT @centralpolitcs: 🇧🇷Mulher do tesoureiro do PT assassinado por bolsonarista encontra com Lula em Foz do Iguaçu

Presidente esteve em Foz…",Insatisfeito
226,sair nesse sol do caralho pra comprar um carregador meu deus que sofrimento sem fim!,Insatisfeito
227,"@o_antagonista PRABENS GOVERNO LULA, graças a voces hoje estou desligando 4 colaboradoras e correndo serio de risco… https://t.co/E3T88jciOv",Insatisfeito
228,"RT @nikolas_dm: Lula diz que banheiro trans é invenção de satanás e que obesidade é doença e faz piada sobre. Não importa o que diz, mas qu…",Insatisfeito
229,RT @TerraBrasilnot: Formanda em Direito desce escadas ao som do jingle ”Lula Ladrão” e faz duro discurso contra corrupção; VEJA VÍDEO https…,Insatisfeito
230,"RT @carlosjordy: Questionado por uma criança sobre a picanha, Lula pede paciência e diz que o preço vai diminuir mas não é da noite pro dia…",Insatisfeito
231,"RT @nikolas_dm: Lula diz que banheiro trans é invenção de satanás e que obesidade é doença e faz piada sobre. Não importa o que diz, mas qu…",Insatisfeito
232,"RT @carlosjordy: Questionado por uma criança sobre a picanha, Lula pede paciência e diz que o preço vai diminuir mas não é da noite pro dia…",Insatisfeito
233,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
234,"@SigaGazetaBR Sabe de uma coisa ,quando bolsonaro perdeu fiz um pergunta a Deus, o porque de o Lula ter ganho,aí de… https://t.co/bypMR8lACd",Insatisfeito
235,Bolsonaro transmitia covid pras crianças. Lula transmite amor e empatia https://t.co/Bt7zsT119X,Insatisfeito
236,"@GuilhermeBoulos Claro estão sendo obrigados a baixas se não estraga as carnes de tão caro que tá, o preço baixou n… https://t.co/ye95KWd2SO",Insatisfeito
237,RT @pesquisas_2022: 🚨FOFURA: Uma criança interrompeu a posse do novo diretor-geral da Itaipu para dizer que ama o Lula. O Presidente retrib…,Insatisfeito
238,"@simonemigdan @saritacoelho Estamos numa democracia, vc defende quem vc quiser desde que use argumentos, defender o… https://t.co/ZBpZNoAZfl",Insatisfeito
239,"RT @FernandoHoliday: Lula ameaçou barrar as emendas de deputados que assinassem a CPMI do dia 8. Não funcionou.

Agora está oferecendo R$ 6…",Insatisfeito
240,"RT @BernardoMF: Lula agora, no Planalto: “Se as pessoas lessem ‘O povo brasileiro”, do Darcy Ribeiro, iam entender melhor quem somos nós”…",Insatisfeito
241,"RT @carlosjordy: Questionado por uma criança sobre a picanha, Lula pede paciência e diz que o preço vai diminuir mas não é da noite pro dia…",Insatisfeito
242,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
243,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
244,"RT @Analise2023: Imaginem o cenário:

- Petrobrás revoga PPI em maio

- Gás de cozinha cai dos atuais 107 para 70 a 80 reais

- Filas da po…",Insatisfeito
245,"RT @DCM_online: VÍDEO – “Te amo, Lula”: Menino interrompe presidente em discurso para dizer que “o preço da picanha caiu”
https://t.co/NLa5…",Insatisfeito
246,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
247,"RT @EMelorini: @lazarorosa25 Coisa linda. "" Oi Lula""
Nós te amamos ❤️",Insatisfeito
248,@IsabelN73066673 @pernostico @_gabesfg @aninha__beea @nikolas_dm Ah se o Lula roubou então ele não rouba? O que esp… https://t.co/W5HZpSVZJF,Insatisfeito
249,RT @PedroRonchi2: O Lula apresentou projeto pra igualar salários de homens e mulheres. O mercado tá dizendo que isso vai gerar desemprego d…,Insatisfeito
250,RT @mspbra: Tarcísio amaciando a picanha do Lula... https://t.co/hHhtdt8Mbj,Insatisfeito
251,"RT @BolsonaroSP: Flávio Dino, o ministro que entra na Maré, complexo de favelas mais armado do Rio, com apenas 2 carros e sem trocar tiros…",Insatisfeito
252,"RT @eutauat: As reservas internacionais diminuíram mais de US$65 bilhões em 4 anos com Bolsonaro. Com Lula, já cresceram mais de US$ 14 bil…",Insatisfeito
253,RT @emirsader: Lula defende ajuda a países vizinhos: 'Temos o direito de distribuir' https://t.co/Snonuei6l3,Insatisfeito
254,Un excellent documentaire qui retrace la vie et le parcours politique incroyable de Lula. https://t.co/G9pE2uBpk7,Muito satisfeito
255,"RT @ocolunista_: @SF_Moro Engraçado, foi no governo Bolsonaro que faltaram recursos federais para a BR277.

Recursos que só chegaram com go…",Insatisfeito
256,"RT @Zambelli2210: É inegável: lula está levando o país para o BURACO, destruindo todas as conquistas do governo Bolsonaro para o povo brasi…",Insatisfeito
257,"@Zambelli2210 Pois é,eu avisei todos os motoqueiros,não votem votem nele,e eles depois que o lula foi eleito eles d… https://t.co/TM4IXyuRTy",Insatisfeito
258,"RT @Zambelli2210: É inegável: lula está levando o país para o BURACO, destruindo todas as conquistas do governo Bolsonaro para o povo brasi…",Insatisfeito
259,"RT @marcosaraujjoo: Crianças vai até o Presidente Lula e diz “oi Lula, te amo”. ❤️ 

🚨 NOS ACOMPANHE, AQUI TODOS SÃO LULA!

bananinha/ cpmi…",Insatisfeito
260,"RT @jane456000: Lula te amo ..!
Que fofo 🥰",Insatisfeito
261,RT @juliajsrr: aí gente o lula é um querido eu amo ele demais 😭😭😭 https://t.co/ReAAHpbn7Z,Insatisfeito
262,RT @pesquisas_2022: 🚨FOFURA: Uma criança interrompeu a posse do novo diretor-geral da Itaipu para dizer que ama o Lula. O Presidente retrib…,Insatisfeito
263,lula acabe com os aplicativos de emprego que COBRAM pra vc procurar emprego!!!!!!!,Insatisfeito
264,"RT @Zambelli2210: É inegável: lula está levando o país para o BURACO, destruindo todas as conquistas do governo Bolsonaro para o povo brasi…",Insatisfeito
265,"RT @gleisi: Testemunhei esse bonito gesto do presidente Lula com a família do companheiro Marcelo Arruda. Marcelo, presente!",Insatisfeito
266,"É possível e saudável fazer uma oposição de esquerda ao governo Lula, ao momento em que seja de forma racional em v… https://t.co/vBjz5xX4AI",Insatisfeito
267,"RT @eixopolitico: 🇧🇷 “Lula, diminui o preço da picanha”, grita criança para Lula durante cerimônia.

“Vai baixar o preço da carne neste paí…",Insatisfeito
268,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
269,"RT @eltruenopy: 🤝Mario Abdo y Lula da Silva mantuvieron un “cálido encuentro”, ocasión en la que dialogaron sobre la construcción de puente…",Insatisfeito
270,"RT @byarielly: “oi lula… eu te amo!”
“… eu te amo também”
que coisa mais fofa 🥺🥺🥺🥺🥺 https://t.co/nU2N72aSai",Insatisfeito
271,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
272,"RT @delucca: Incrível como a ⁦@gleisi⁩ consegue estar sempre do lado certo dos debates, a craque do jogo do início do governo Lula. https:/…",Insatisfeito
273,"RT @FOFOQUEl: ""Oi, Lula... eu te amo!""

🥺❤ 

https://t.co/41eTgkdZDr",Insatisfeito
274,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
275,"RT @Mr_Machado: As maiores fake news de todos os tempos foram vocês que inventaram e acabaram com o país Madame @ECantanhede: 

Mensalão, T…",Muito insatisfeito
276,RT @reynaldogassibe: Senado Federal dá sinais positivos à indicação de Zanin para o STF.  É essencial q Zanin seja sabatinado à exaustão a…,Insatisfeito
277,RT @PedroRonchi2: O incrível caso de mulheres bolsonaristas que são contra a igualdade de salário entre homens e mulheres só porque é o Lul…,Insatisfeito
278,RT @eltruenopy: 🗣️“Estoy seguro que haremos un tratado que lleve muy en cuenta la realidad de los dos países y el respeto que el Brasil tie…,Insatisfeito
279,@dananfer13 @nikolas_dm Ouve corrupção no governo lula?  Petrobras odebretch e etc?,Insatisfeito
280,"RT @PrJosiasPereir3: 🔴 Seguindo orientações de George Soros, Zanin deverá ser barrado para o cargo no STF, mesmo sendo o preferido de Lula.…",Insatisfeito
281,"RT @lazarorosa25: Presidente Lula com a família de Marcelo Arruda, covardemente assassinado no dia do seu aniversário por um bolsonarista.…",Insatisfeito
282,"*Apesar do recorde de desmatamento em fevereiro, Gilmar Mendes diz que Lula fez ‘clara modificação’ na política amb… https://t.co/NGSZGjVddO",Insatisfeito
283,Lula se reúne con la familia de un militante del PT asesinado por un bolsonarista - RT https://t.co/LmG2QVMGYZ #,Insatisfeito
284,"RT @deltanmd: Se o ""ditadura nunca mais"" é tão importante para o PT, por que Lula segue protegendo o ditador Daniel Ortega? 
Segue o 🧶 http…",Insatisfeito
285,"RT @cesarcalejon1: O Lula, após ouvir que a criança o amava, disse ""eu te amo também"". Um cara que só fala de amor, paz, combate à fome, cr…",Insatisfeito
286,"RT @Morpheus1966_: Olha que coisa mais linda
Mais cheia de graça
É ele, um menino
Que vem e que fala,
“Oi Lula, Oi Lula,
Eu te amo!” https:…",Insatisfeito
287,"RT @carlosjordy: Questionado por uma criança sobre a picanha, Lula pede paciência e diz que o preço vai diminuir mas não é da noite pro dia…",Insatisfeito
288,"RT @SigaGazetaBR: #ATENÇÃO: Bancos suspendem concessão de consignado para aposentados após decisão do Governo Lula
 https://t.co/s4NbQ8zcEu",Insatisfeito
289,@PopOnze eu tenho pelo lula molusco pop,Insatisfeito
290,RT @BolsonaroSP: Quem dera todo brasileiro pudesse sair às ruas nas grandes cidades com a mesma tranquilidade que Flávio Dino chega na Maré…,Insatisfeito
291,"RT @delucca: Incrível como a ⁦@gleisi⁩ consegue estar sempre do lado certo dos debates, a craque do jogo do início do governo Lula. https:/…",Insatisfeito
292,"RT @elikatakimoto: Pausa para esse momento de fofura:

- Oi, Lula. Oi, Lula.
- Fala, querido.
- Eu te amo.
- Eu te amo também. https://t.co…",Insatisfeito
293,"Lula defende ajuda a países vizinhos: ‘Temos o direito de distribuir’

https://t.co/XQOByG9Tn1",Insatisfeito
294,"RT @raquellandim: 98% do mercado diz que a política econômica de Lula está indo na direção errada, revela pesquisa Genial/Quaest do @felipn…",Insatisfeito
295,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
296,"RT @cesarcalejon1: Você pode achar que é um truque, mas, após os anos do bolsonarismo, quando o ódio e a violência foram usados para fazer…",Insatisfeito
297,"RT @Gattiaosta1: Comprar é bom ter Lula como Presidente do Brasil!

Garotinho interrompe discurso de Lula para dizer: Ôi, Lula! Eu te amo!…",Insatisfeito
298,"RT @cesarcalejon1: Você pode achar que é um truque, mas, após os anos do bolsonarismo, quando o ódio e a violência foram usados para fazer…",Insatisfeito
299,"RT @nikolas_dm: Lula diz que banheiro trans é invenção de satanás e que obesidade é doença e faz piada sobre. Não importa o que diz, mas qu…",Insatisfeito
300,RT @jcrollemberg: UOL e FOLHA sempre batendo no nosso presidente Lula eles adoravam era quando o Satanás agredia seus repórteres e ainda ch…,Insatisfeito
301,"@misiatomicbomb @Jpbotterr @RaonyPhillips @choquei Já tem mais que Lula, bora se candidatar!",Insatisfeito
302,"RT @lulaverso: “Lula Lula! Já caiu o preço da picanha!” 
é muita fofura e sabedoria juntas! https://t.co/hdEs9r4qvu",Insatisfeito
303,RT @Mary080310: @JosafSilveiraM1 Só se o Lula for junto!!!,Insatisfeito
304,RT @meldecana: Lindo lindo.... Oi Lula!!!! https://t.co/1uSmXWpoQk,Insatisfeito
305,"RT @flaviogarag: O Lula cada dia mais based
 https://t.co/toCt6chTuW",Insatisfeito
306,"RT @PrJosiasPereir3: 🔴 Seguindo orientações de George Soros, Zanin deverá ser barrado para o cargo no STF, mesmo sendo o preferido de Lula.…",Insatisfeito
307,"RT @Zambelli2210: É inegável: lula está levando o país para o BURACO, destruindo todas as conquistas do governo Bolsonaro para o povo brasi…",Insatisfeito
308,"https://t.co/HiI5Bod18P o Brasil td sabe que é fato, negros da periferia pobres, são tratados como marginais. Só es… https://t.co/ddunmDQf6h",Insatisfeito
309,"@IvanValente Esquece não, a invasão aconteceu no governo Lula viu. Quem é responsável é o atual governo.",Insatisfeito
310,"RT @candundaradasi: Daha 3 ay önce Brezilya’da başkanlık seçimlerini kaybeden Başkan Bolsonaro, koltuğu bırakmamak için direndi. Taraftarla…",Insatisfeito
311,"RT @habitxc: “oi lula, eu te amo” 🥹 https://t.co/f9PamO17EK",Insatisfeito
312,@JanjaLula Como o papai lula é fofo🥰,Insatisfeito
313,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
314,@delucca @gleisi Sem ela Lula não era presidente agora.,Insatisfeito
315,"RT @cesarcalejon1: Você pode achar que é um truque, mas, após os anos do bolsonarismo, quando o ódio e a violência foram usados para fazer…",Insatisfeito
316,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
317,"@PedroRonchi2 Uma pesquisa que deve ter sido feita apenas entre #bolsonaristas, claro! Jamais diriam que Lula está no CAMINHO CERTO.",Insatisfeito
318,Merece o lula ladrão vai estudar um pouco https://t.co/LxlWQBM51B,Insatisfeito
319,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
320,"RT @Ro_anna: Oi, Lula. Eu te amo. 🥰🥰🥰 https://t.co/O8dVzOV5iN",Insatisfeito
321,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
322,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
323,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
324,"@_robertofranca Esse papo parece o caso dos navios do Irã, quando você tentou adivinhar que Lula não deixaria os na… https://t.co/j3Ij3gCiyE",Insatisfeito
325,@frittz_br @fabio_simonetti @GuilhermeBoulos E tu sabe o mínimo da realidade do deputado que eu falei? Claro que n.… https://t.co/2wc5wsKuj3,Insatisfeito
326,"RT @choquei: 🚨AGORA: Governo Lula anuncia que o nome do programa que vai dar passagens aéreas por R$ 200 reais vai se chamar “Voa, Brasil”.…",Insatisfeito
327,"RT @cesarcalejon1: Você pode achar que é um truque, mas, após os anos do bolsonarismo, quando o ódio e a violência foram usados para fazer…",Insatisfeito
328,"RT @EstevamReboucas: A Democracia venceu o fascismo nas urnas. Mantê-la, é obrigação de todos nós. Reconstruir não é tarefa só de um seguim…",Insatisfeito
329,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
330,"RT @gleisi: Testemunhei esse bonito gesto do presidente Lula com a família do companheiro Marcelo Arruda. Marcelo, presente!",Insatisfeito
331,"RT @cesarcalejon1: O Lula, após ouvir que a criança o amava, disse ""eu te amo também"". Um cara que só fala de amor, paz, combate à fome, cr…",Insatisfeito
332,"RT @Morpheus1966_: Olha que coisa mais linda
Mais cheia de graça
É ele, um menino
Que vem e que fala,
“Oi Lula, Oi Lula,
Eu te amo!” https:…",Insatisfeito
333,"RT @cesarcalejon1: Você pode achar que é um truque, mas, após os anos do bolsonarismo, quando o ódio e a violência foram usados para fazer…",Insatisfeito
334,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
335,"RT @choquei: “Oi Lula, eu te amo” 😍✨

https://t.co/f36LVGvN9s",Insatisfeito
336,"RT @madeleinelacsko: Em 14 de outubro, eu avisei vocês que teríamos ou Mensalão ou Orçamento Secreto.

Na época, Lula ainda dizia que o Orç…",Insatisfeito
337,"RT @deppauloguedes: FIZ O L PRA TER UM PRESIDENTE QUE ASSIM:
- Oh Lula, Lula!
- Tudo bem?
- Eu te amo!
- Eu te amo também!

É um presidente…",Insatisfeito
338,"@queva66 @R_DeCastelnau Je n'ai rien à faire de Biden, Lula et autres obsessions débiles qui n'ont rien à voir.
Vou… https://t.co/Ez8IIpDd3t",Insatisfeito
339,RT @Huaira_Runa: Lula se reúne con la familia de un militante del PT asesinado por un bolsonarista - RT https://t.co/E7IWul8QaD https://t.c…,Insatisfeito
340,"""oi Lula 👋🏻""",Insatisfeito
341,"RT @apropriajulia: Prioridades do Governo Lula:

✅ Dar dinheiro p/ os amigos artistas famosos que já possuem carreira consolidada mas que f…",Insatisfeito
342,@PastorMalafaia Ternura entre Lula e criança: Bom qual das 2 situações melhor simboliza a presença de a Deus? Até o… https://t.co/H24oC53oy2,Insatisfeito
343,Lula dice que Brasil será respetuoso con Paraguay en negociaciones de Itaipú https://t.co/jYuH3ty2aE,Insatisfeito
344,"RT @iriny_13: Como é bom ver o Brasil ser governado por presidente afetivo.

- Oi, Lula. Oi, Lula.
- Fala, querido.
- Eu te amo.
- Eu te am…",Insatisfeito
345,"RT @delucca: Incrível como a ⁦@gleisi⁩ consegue estar sempre do lado certo dos debates, a craque do jogo do início do governo Lula. https:/…",Insatisfeito
346,RT @AlexandrePT13CV: @Alexand92840726 @CarlosM17244219 @borgescm @asarock8 @Xavi93849835 @RamosEneildes @neylopesmachado @SigaoDecco @Cleuz…,Insatisfeito
347,"RT @ProfDrAlekss: İnanılmaz bir örnek, ülkemiz için adeta bir simülasyon yaşandı Brezilya seçimlerinde, gerçekten bizlerin de üzerinde durm…",Insatisfeito
348,"RT @senadorhumberto: Joseph Stiglitz, prêmio Nobel de Economia, diz que o presidente Lula está totalmente certo ao criticar as altas taxas…",Insatisfeito
349,@drunk_tpwk Kkkkkkk ela é xonada no lula,Insatisfeito
350,"RT @TerraBrasilnot: Constarngimento: Âncora da CNN, militante de esquerda, é obrigada a dizer que pesquisa avaliou Lula como péssimo para a…",Insatisfeito
351,"RT @lulaverso: “Lula Lula! Já caiu o preço da picanha!” 
é muita fofura e sabedoria juntas! https://t.co/hdEs9r4qvu",Insatisfeito
352,RT @Pimenta13Br: Presidente Lula participa da posse do presidente e vice-presidente do Superior Tribunal Militar https://t.co/EPiEdr4j4V,Muito satisfeito
353,@lazarorosa25 Deus te deu autorização pra cobrar o Lula?,Insatisfeito
354,"@paatriotas E existem 150 milhões que apoiam ele. E eu sou um deles. Kkkkkkkkkkkk
É LULA PRESIDENTE
É LULA PRESIDENTE",Insatisfeito
355,@DefecatingB LULA E DINO SIM...,Insatisfeito
356,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
357,RT @carlosjordy: Ministro da Justiça de lula visita o Complexo da Maré e se reúne com lideranças. Ele foi sem segurança nem escolta. Convoc…,Insatisfeito
358,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
359,"RT @HermesFernandes: Bispo Edir Macedo diz em vídeo postado em suas redes que orou por Lula quando o presidente estava doente, mas o petist…",Insatisfeito
360,"RT @Poellnitz_: “Oi Lula, eu te amo 😍”  https://t.co/8Prz0mhT7H",Insatisfeito
361,"RT @lfica1: Se para 98% do mercado, política econômica de Lula está na direção errada. Então tá CERTO.",Insatisfeito
362,"RT @SF_Moro: Lula está no PR pra fazer política e indicar um companheiro petista para conduzir Itaipu, a joia da coroa do sistema elétrico…",Insatisfeito
363,A reputação do Lula em Portugal. https://t.co/YfSzKQLG2h,Insatisfeito
364,"RT @FOFOQUEl: ""Oi, Lula... eu te amo!""

🥺❤ 

https://t.co/41eTgkdZDr",Insatisfeito
365,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
366,"RT @deppauloguedes: FIZ O L PRA TER UM PRESIDENTE QUE ASSIM:
- Oh Lula, Lula!
- Tudo bem?
- Eu te amo!
- Eu te amo também!

É um presidente…",Insatisfeito
367,"RT @eutauat: As reservas internacionais diminuíram mais de US$65 bilhões em 4 anos com Bolsonaro. Com Lula, já cresceram mais de US$ 14 bil…",Insatisfeito
368,"RT @delucca: Incrível como a ⁦@gleisi⁩ consegue estar sempre do lado certo dos debates, a craque do jogo do início do governo Lula. https:/…",Insatisfeito
369,"RT @jeonlouies: “oi lula, eu te amo” essa criança não era ninguém menos do que park jimin https://t.co/YcCvLsfBtp",Insatisfeito
370,@kimpaim Lula fala provocar  mal gordo. Lula nao ter respeito. Eu admiro você. Deus ver tudo poder sua vida .,Insatisfeito
371,RT @opilhado: ACHO QUE ESSA FOI A PICANHA PROMETIDA PELO LULA PROS MAIS POBRES! E AINDA TEM MUITO IGNORANTE CAPAZ DE ACREDITAR EM MENTIRAS…,Insatisfeito
372,"RT @carlosjordy: Questionado por uma criança sobre a picanha, Lula pede paciência e diz que o preço vai diminuir mas não é da noite pro dia…",Insatisfeito
373,"RT @centralpolitcs: A conjuntura era outra, mas de qualquer forma, Lula assumiu o governo em 2003 com reservas de US$ 16,3 bilhões e oito a…",Insatisfeito
374,"RT @byarielly: “oi lula… eu te amo!”
“… eu te amo também”
que coisa mais fofa 🥺🥺🥺🥺🥺 https://t.co/nU2N72aSai",Insatisfeito
375,"RT @PedroRonchi2: Ah, mas o Lula vai levar 200 empresários e 34 políticos pra China. Amigo, ao contrário do Bolsonaro que atacava a China,…",Insatisfeito
376,RT @PedroRonchi2: O Lula apresentou projeto pra igualar salários de homens e mulheres. O mercado tá dizendo que isso vai gerar desemprego d…,Insatisfeito
377,@adv_alerech @Barata97743721 @InacioBruno2023 @DrBrunoGino Ganha dinheiro pra defender o Lula.,Insatisfeito
378,"RT @marcosaraujjoo: Crianças vai até o Presidente Lula e diz “oi Lula, te amo”. ❤️ 

🚨 NOS ACOMPANHE, AQUI TODOS SÃO LULA!

bananinha/ cpmi…",Insatisfeito
379,"RT @Dante27455639: Sondeo Tuitero 

Si tuvieras que elegir entre Bukele y todo el combo socialista (Obrador, Maduro, Fernández, Lula, Petro…",Insatisfeito
380,"RT @lazarorosa25: ""Oi Lula"" https://t.co/5LCPUvFRdS",Insatisfeito
381,RT @SigaGazetaBR: Lula: ‘Como é que o Brasil não tem a generosidade de oferecer universidade para crianças e adolescentes de todo o contine…,Insatisfeito
382,"RT @lazarorosa25: Governo Lula: Em 73 dias as reservas internacionais aumentaram em US$ 14,2 bilhões. Com Jair, as reservas emagreceram US$…",Insatisfeito
383,RT @sudornelles: - oi Lula https://t.co/qm7JuMVEDm,Insatisfeito
